Hora,Carga_kW,Irradiacao_W_m2
1,2.732106849991477,0
2,2.182811318120581,0
3,2.070040378467746,0
4,1.961878751570043,0
5,2.040872292070401,0
6,3.500213212044188,0
7,5.019726138485407,0
8,5.310105514119316,186.336335786151
9,4.341149386286014,359.9741582238304
10,4.270148638592514,509.0803366639794
11,3.697824544606808,623.4935314555123
12,4.232048161947382,695.4166724501305
13,4.296230519284508,719.9483164476609
14,4.061613002532878,695.4166724501305
15,3.69610124968988,623.4935314555124
16,4.093745339139112,509.0803366639794
17,5.093417400728923,359.9741582238304
18,6.479427787160364,186.3363357861512
19,7.744505862127281,0
20,7.113080354582086,0
21,6.278912607983038,0
22,5.294852180845042,0
23,4.001972620187508,0
24,3.378817210532176,0
25,2.637593738358125,0
26,2.282890726810205,0
27,2.092726317470732,0
28,1.930594362359155,0
29,2.190812644918203,0
30,3.399336461214571,0
31,5.139590782363934,0
32,5.347934510115697,186.336335786151
33,4.313444330654917,359.9741582238304
34,4.307070922993586,509.0803366639794
35,3.711749800592596,623.4935314555123
36,4.109983125565681,695.4166724501305
37,4.268478927307945,719.9483164476609
38,3.954484706232772,695.4166724501305
39,3.899709621130751,623.4935314555124
40,3.997280596317125,509.0803366639794
41,4.683971190830868,359.9741582238304
42,6.528497613512278,186.3363357861512
43,7.667587698864923,0
44,6.828111014546201,0
45,6.225503180922917,0
46,5.266159072516224,0
47,4.272067114674047,0
48,3.42473266376146,0
49,2.628637795654517,0
50,2.372031681745652,0
51,2.213287283196999,0
52,1.978772295402432,0
53,2.045552064594598,0
54,3.360369213050651,0
55,4.854830703453363,0
56,5.159226670925418,186.336335786151
57,4.407963393015278,359.9741582238304
58,4.062464859038167,509.0803366639794
59,3.794586938203153,623.4935314555123
60,4.127295217453067,695.4166724501305
61,4.325257194571309,719.9483164476609
62,4.26787488905954,695.4166724501305
63,3.825397748226533,623.4935314555124
64,4.273159793700532,509.0803366639794
65,5.058276757670244,359.9741582238304
66,6.721181666363933,186.3363357861512
67,7.929669789623309,0
68,6.848591685404069,0
69,6.249502929135803,0
70,5.300412603006275,0
71,4.292868154271732,0
72,3.452068758670486,0
73,2.569046197209267,0
74,2.202399248610192,0
75,2.167682251356931,0
76,1.923776137817764,0
77,2.049052921176333,0
78,3.28745862676376,0
79,4.766602653043309,0
80,5.412114853372003,186.336335786151
81,4.569550238740771,359.9741582238304
82,4.246801503627283,509.0803366639794
83,3.669648624052677,623.4935314555123
84,4.068210539317187,695.4166724501305
85,4.537508842946404,719.9483164476609
86,3.989930081279457,695.4166724501305
87,3.789420366694214,623.4935314555124
88,4.224703065863459,509.0803366639794
89,5.13378885788723,359.9741582238304
90,6.410193612567778,186.3363357861512
91,7.435986784187763,0
92,7.503373249335675,0
93,6.12700554495094,0
94,5.467038636655714,0
95,4.232077966410889,0
96,3.503933903217616,0
97,2.607851566123478,0
98,2.339044417099842,0
99,2.02249726613686,0
100,1.97300655068,0
101,2.106070864746107,0
102,3.447683397009208,0
103,4.894345419999905,0
104,5.166985688601963,186.336335786151
105,4.545665412727214,359.9741582238304
106,4.035760391895584,509.0803366639794
107,3.849825511545281,623.4935314555123
108,4.041715734266661,695.4166724501305
109,4.488284258938593,719.9483164476609
110,4.229512194209089,695.4166724501305
111,3.881411926831607,623.4935314555124
112,4.05888847228143,509.0803366639794
113,4.872609888001647,359.9741582238304
114,6.733446147396415,186.3363357861512
115,7.438584244812548,0
116,7.471278505653166,0
117,6.132851070052237,0
