PV_kWp,Bateria_kWh,Gerador_kW,LCOE_R$/kWh,Penetr.Renov_%,Autonomia_h,CAPEX_R$,OPEX_Anual_R$,LCC_R$,Combustivel_Anual_L,Horas_Gerador_h,Curtailment_kWh,Carga_Nao_Atendida_kWh,Energia_Importada_kWh,Energia_Exportada_kWh,Autoconsumo_%,LCOS_R$/kWh
20,20,10,1.820410771436197,58.26639705881033,4.247936373326481,111000,47380.16292993196,641171.5748390544,4058.486604604917,5000,4851.429974804493,0,0,0,100,0.7088728987127807
15,20,10,1.836000826103004,51.37339786560013,4.247936373326481,93500,49337.5931757288,646662.1874126643,4591.629719342892,5496,1106.680071476039,0.02045044127587348,0,0,100,0.9345380442623451
20,15,10,1.852770258434775,54.71629087073505,3.185952279994861,105000,48740.41026416073,652568.4978790806,4291.755425255496,5047,6022.781990444463,0.02504662430051408,0,0,100,0.7400609129608942
15,15,10,1.858465192757884,48.9666761989081,3.185952279994861,87500,50573.62644384192,654574.4150507742,4764.86560674491,5676,1900.774142474102,0.02045044127587525,0,0,100,0.8611560420756975
15,10,10,1.869677637536768,46.17398185568576,2.12396818666324,81500,51504.18054214923,658523.5767090218,4945.258544946036,5680,2822.219297829679,0.02045044127587525,0,0,100,0.7812003301232254
25,20,10,1.885920975164072,62.17477918433102,4.247936373326481,128500,47602.77379355584,664244.9108073143,3763.19596823936,4821,9580.949637947891,0.009036279864038654,0,0,100,0.7030914762292846
20,10,10,1.897008059350324,50.79998660126537,2.12396818666324,99000,50733.06209339379,668150.1032519328,4566.624937445198,5275,7314.960493530258,0,0,0,100,0.7023487083337954
25,15,10,1.916117000791836,57.69794980063521,3.185952279994861,122500,49240.76963087777,674880.1621307051,4051.810712442735,4827,11058.07253074546,0.01714526517369919,0,0,100,0.690317319648528
20,20,15,1.928430709781343,58.26639705881033,4.247936373326481,119500,49005.16292993205,679217.5560370963,4308.486604604931,5000,4851.429974804493,0,0,0,100,0.7088728987127807
15,20,15,1.951881189577218,51.37339786560013,4.247936373326481,102000,51123.79317572884,687476.6839297839,4866.429719342898,5496,1106.680071476039,0.02045044127587348,0,0,100,0.9345380442623451
20,15,15,1.961545989668191,54.71629087073505,3.185952279994861,113500,50380.68526416081,690880.6497573475,4544.105425255509,5047,6022.781990444463,0.02504662430051408,0,0,100,0.7400609129608942
11.2,10,10,1.964509337072768,39.50390112744784,2.12396818666324,68200,55280.49528028877,691924.687110885,5528.99927389058,6621,448.4980177835336,0.01026836373618978,0,0,100,1.164866470485039
30,20,10,1.964755506105961,64.09583484925901,4.247936373326481,146000,48825.79763610996,692011.3156354105,3605.199636324608,4696,14966.18457607956,0.01385762951073133,0,0,100,0.6902867429901887
11.2,15,10,1.972647246571073,40.78689644573208,3.185952279994861,74200,54987.31920942701,694790.9603207348,5445.741416834925,6620,25.17570782647263,0.01026836373619079,0,0,100,1.399508343594353
15,15,15,1.977137618871248,48.9666761989081,3.185952279994861,96000,52418.32644384196,696372.3105446023,5048.665606744917,5676,1900.774142474102,0.02045044127587525,0,0,100,0.8611560420756975
25,10,10,1.984804496616436,52.7821633049851,2.12396818666324,116500,52015.80202050778,699072.9214993978,4404.584926231965,5193,12680.02863996746,0.009036279864038654,0,0,100,0.6902867429901901
15,10,15,1.988411758454508,46.17398185568576,2.12396818666324,90000,53350.18054214925,700343.2018756163,5229.258544946038,5680,2822.219297829679,0.02045044127587525,0,0,100,0.7812003301232254
25,20,15,1.991041186865185,62.17477918433102,4.247936373326481,137000,49169.59879355592,701269.5616622514,4004.245968239372,4821,9580.949637947891,0.009036279864038654,0,0,100,0.7030914762292846
11.2,20,10,1.99603293664151,40.86319838993892,4.247936373326481,80200,55197.24118501748,703027.6919969355,5439.883259233457,6619,0,0.01026836373619078,0,0,100,1.840642259939788
30,15,10,2.004468880357818,59.17924182457558,3.185952279994861,140000,50777.01221808542,705998.9774865954,3926.924956628527,4751,16588.40679830178,0.008356363186940996,0,0,100,0.6902867429901884
20,10,15,2.009416985050741,50.79998660126537,2.12396818666324,107500,52447.43709339389,707741.9410108582,4830.374937445215,5275,7314.960493530258,0,0,0,100,0.7023487083337954
25,15,15,2.021334997907327,57.69794980063521,3.185952279994861,131000,50809.54463087786,711939.2451214752,4293.160712442748,4827,11058.07253074546,0.01714526517369919,0,0,100,0.690317319648528
20,20,20,2.036450648126484,58.26639705881033,4.247936373326481,128000,50630.16292993197,717263.5372351366,4558.486604604918,5000,4851.429974804493,0,0,0,100,0.7088728987127807
30,20,15,2.064453221291905,64.09583484925901,4.247936373326481,154500,50351.99763611003,727126.0903935216,3839.999636324619,4696,14966.18457607956,0.01385762951073133,0,0,100,0.6902867429901887
